Subject,CourseCode,CourseNbr,Course Title,Days,Start Time,End Time,Location,Enrl Cap,Classroom,Instructor
CSE,355,21053,Intro Theoretical Computer Sci,M,10:45 AM,11:35 AM,TEMPE,50,BYAC240,McDaniel
CSE,355,21048,Intro Theoretical Computer Sci,M,4:30 PM,5:45 PM,TEMPE,42,BYAC260,Colbourn
CSE,355,21056,Intro Theoretical Computer Sci,M,1:30 PM,2:20 PM,TEMPE,150,BYAC190,Colbourn
CSE,360,11369,Intro to Software Engineering,M,1:30 PM,2:20 PM,TEMPE,128,CDN60,Calliss
CSE,360,30399,Intro to Software Engineering,W,3:00 PM,3:50 PM,TEMPE,80,CDN60,Calliss
CSE,365,22867,Information Assurance,MW,4:10 PM,5:00 PM,TEMPE,150,LSE104,Elsayed
CSE,408,23459,Multimedia Information Systems,TTh,4:30 PM,5:45 PM,TEMPE,132,SCOB228,Yang
CSE,412,22882,Database Management,MW,3:05 PM,3:55 PM,TEMPE,60,PSH152,Elsayed
CSE,420,11332,Computer Architecture I,MWF,10:45 AM,11:35 AM,TEMPE,150,BYAC110,Lee
CSE,423,24595,Systems Capstone Project I,T,10:45 AM,11:35 AM,TEMPE,128,BYAC270,Meuth
CSE,423,24595,Systems Capstone Project I,T,10:45 AM,11:35 AM,TEMPE,80,INTRT,Meuth
CSE,423,13226,Systems Capstone Project I,Th,4:30 PM,5:45 PM,TEMPE,150,BYAC150,Meuth
CSE,423,13226,Systems Capstone Project I,T,1:30 PM,2:20 PM,TEMPE,132,INTRT,Meuth
CSE,424,24596,Systems Capstone Project II,Th,1:30 PM,2:20 PM,TEMPE,80,BYAC270,Meuth
CSE,424,24596,Systems Capstone Project II,T,3:00 PM,3:50 PM,TEMPE,80,INTRT,Meuth
CSE,424,11273,Systems Capstone Project II,T,4:10 PM,5:00 PM,TEMPE,190,BYAC150,Meuth
CSE,424,11273,Systems Capstone Project II,W,4:30 PM,5:45 PM,TEMPE,132,INTRT,Meuth
CSE,434,11285,Computer Networks,MW,3:05 PM,3:55 PM,TEMPE,126,PSH152,Syrotiuk
CSE,445,11394,Distributed Software Developmt,MWF,10:45 AM,11:35 AM,TEMPE,130,COORL1-74,Balasooriya
CSE,446,14865,Software Integration and Engr,TTh,10:45 AM,11:35 AM,TEMPE,150,PSH151,Chen
CSE,450,22869,Design&Analysis of Algorithms,TTh,10:45 AM,11:35 AM,TEMPE,69,COORL1-20,Richa
CSE,460,11816,Software Analysis and Design,MW,4:30 PM,5:45 PM,TEMPE,50,BYAC110,Sarjoughian
CSE,463,14489,Intro Human Computer Interactn,TTh,1:30 PM,2:20 PM,TEMPE,50,PSF166,Atkinson
CSE,464,23720,Software QA and Testing,MWF,1:30 PM,2:20 PM,TEMPE,42,COOR L1-74,Balasooriya
CSE,469,14879,Computer and Network Forensics,F,3:00 PM,3:50 PM,TEMPE,150,BYENG209,Balasooriya
CSE,470,21941,Computer Graphics,MWF,4:10 PM,5:00 PM,TEMPE,128,PSY102,Hansford
CSE,471,13268,Intro Artificial Intelligence,MW,4:30 PM,5:45 PM,TEMPE,80,PSH153,Gil
CSE,485,21566,Computer Sci Capstone Proj I,M,3:05 PM,3:55 PM,TEMPE,150,BYAC270,Meuth
CSE,485,21566,Computer Sci Capstone Proj I,F,10:45 AM,11:35 AM,TEMPE,132,INTRT,Meuth
CSE,485,21568,Computer Sci Capstone Proj I,F,10:45 AM,11:35 AM,TEMPE,60,BYAC270,Meuth
CSE,485,21568,Computer Sci Capstone Proj I,F,10:45 AM,11:35 AM,TEMPE,150,INTRT,Meuth
CSE,485,21567,Computer Sci Capstone Proj I,W,4:30 PM,5:45 PM,TEMPE,128,BYAC270,Meuth
CSE,485,21567,Computer Sci Capstone Proj I,F,1:30 PM,2:20 PM,TEMPE,80,INTRT,Meuth
CSE,485,13280,Computer Sci Capstone Proj I,T,1:30 PM,2:20 PM,TEMPE,150,BYAC270,Meuth
CSE,485,13280,Computer Sci Capstone Proj I,F,3:00 PM,3:50 PM,TEMPE,132,INTRT,Meuth
CSE,485,25674,Computer Sci Capstone Proj I,F,4:10 PM,5:00 PM,TEMPE,80,BYENGM1-09,Meuth
CSE,485,25674,Computer Sci Capstone Proj I,F,4:30 PM,5:45 PM,TEMPE,80,INTRT,Meuth
